User_ID,Start_node,End_node,Request_time
2,6,22,1
6,22,20,3
8,24,17,3
4,24,7,4
7,14,3,4
9,18,2,5
14,20,21,6
10,21,10,6
12,9,19,7
13,6,17,7
15,24,11,8
11,23,18,8
18,20,9,10
17,22,5,11
16,12,1,12
20,8,12,13
19,10,22,13
21,23,19,14
24,16,17,17
23,17,2,18
25,19,16,18
28,21,4,22
26,5,23,23
27,22,10,24
31,22,13,24
29,24,11,25
30,12,2,27
33,5,24,28
35,10,18,29
34,15,16,30
38,24,6,32
40,24,12,32
36,21,15,32
39,20,15,33
43,23,24,33
37,21,5,33
44,9,22,34
45,7,13,34
42,20,15,35
49,9,1,37
48,22,17,38
46,18,21,39
47,7,3,39
53,14,24,42
50,10,8,42
52,19,15,42
51,14,4,43
55,16,1,44
54,10,1,45
57,8,20,45
56,23,4,46
60,6,20,47
61,24,19,47
59,23,18,47
58,22,19,49
64,24,8,50
63,23,2,51
68,19,12,51
62,14,19,52
72,17,20,52
66,12,9,53
73,3,18,53
70,9,21,54
67,15,1,54
69,17,15,54
76,14,17,55
75,16,4,55
80,9,8,57
74,6,2,57
77,23,11,58
78,12,1,58
79,11,24,59
